id,city_name_en,city_name_ar,gov,population,area
0,Abnūb,أبنوب,ASY,"101,605",1597
1,Abū al-Maṭāmīr [Abou el-Matamer],أبو المطامير,BHR,"58,576",1093
2,Abū an-Numrus,أبو النمرس,JIZ,"83,537",651
3,Abū Ḥammād,أبو حماد,SQY,"39,644",463
4,Abū Ḥummuṣ [Abou Homs],أبو حمص,BHR,"53,713",551
5,Abū Kabīr,أبو كبير,SQY,"142,420",2938
6,Abū Qurqās [Abu Qirqas],أبو قرقاس,MNY,"81,011",988
7,Abū Ṣuwayr al-Maḥaṭṭah,أبو صوير المحطة,ISM,"30,320",4922
8,Abū Tīj,ابو تيج,ASY,"95,815",1386
9,Abū Tisht,أبو تشت,QNA,"17,367",719
10,Aḍ-Ḍab'ah,الضبعة,MTR,"24,021",7830
11,Ad-Dilinjāt,الدلنجات,BHR,"60,284",2204
12,Ajā,أجا,DQH,"43,106",728
13,Akhmīm,أخميم,SWJ,"140,785",1473
14,Al-'Arīsh [El Arish],العريش,SSH,"191,584",30756
15,Al-'Ayyāṭ,العياط,JIZ,"44,171",274
16,Al-Badārī,البداري,ASY,"50,933",2460
17,Al-Badrashayn [Badrshein],البدرشين,JIZ,"87,611",1332
18,Al-Bājūr [El Bagour],الباجور,MNF,"58,651",974
19,Al-Balyanā [El Balyana],البلينا,SWJ,"63,599",499
20,Al-Baṣaliyah Baḥri,البصلية بحرى,ASW,"29,256",1087
21,Al-Bāwīṭī,الباويطى,JIZ,"15,098",4438
22,Al-Bāyaḍiyah,البياضية,UQS,"21,979",851
23,Al-Fashn,الفشن,BSW,"101,928",1610
24,Al-Fatḥ - An-Nāṣiriyah,الفتح - الناصريه,ASY,"20,390",119
25,Al-Fayyūm [Fayoum],الفيوم,FYM,"489,377",1847
26,Al-Ghanāyim [El Ghanayem],الغنايم,ASY,"64,429",1317
27,Al-Ghurdaqah [Hurghada],الغردقة,BAH,"195,675",25772
28,Al-Ḥammām,الحمام,MTR,"15,963",3306
29,Al-Ḥāmūl,الحامول,KSH,"54,711",5807
30,Al-Ḥawāmidiyah,الحوامدية,JIZ,"149,567",1039
31,Al-Ḥusayniyah,الحسينية,SQY,"46,703",2517
32,Al-Ibrāhīmiyah,الإبراهيمية,SQY,"49,596",1363
33,Al-'Idwah,العدوه,MNY,"23,416",849
34,Al-Iskandariyah [Alexandria],الإسكندرية,ISK,"5,107,530",110755
35,Al-Ismā'īliyah [Ismaïlia],الإسماعيلية,ISM,"397,446",6885
36,Al-Jamāliyah,الجماليه,DQH,"91,364",1847
37,Al-Jīzah (incl. Al-Warrāq,Al-Ahrām) [Giza],الجيزة,"3,021,542","4,212,750"
38,Al-Khānkah,الخانكة,QLY,"78,185",1045
39,Al-Khārijah [Kharga],الخارجة,WJD,"75,530",25062
40,Al-Khuṣūṣ,الخصوص,QLY,"468,194",773
41,Al-Kurdy,الكردى,DQH,"41,173",1282
42,Al-Maḥallah al-Kubrā [Mahalla el-Kubra],المحلة الكبرى,GHB,"543,271",1891
43,Al-Maḥmūdiyah [Mahmoudiyah],المحمودية,BHR,"30,325",274
44,Al-Manshāh,المنشاة,SWJ,"84,744",1766
45,Al-Manṣūrah [El Mansoura],المنصورة,DQH,"570,271",2822
